author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
犬来八荒w,63991,5468,31526,17514075,100173,92,影视,3558,831953,9608,短片,犬来八荒| 川西旅拍视频,1691420
话很多的小姐姐们,18822,4488,16522,87445315,40165,91,影视,1760,832611,10129,"影评,许光汉,影视鉴评挑战,穿越,解说,爱情,悬疑,台剧,柯佳嬿,想见你,施柏宇",【小姐姐们】超强干货，高分反转剧《想见你》不得不看的硬核分析（第二期）,745117
趣频的搬运工,5191,5504,17779,88893094,21109,90,影视,3200,849862,11036,"人民的名义,湖北",【湖北恩施辞职县委书记说：你们看过的所有官场小说，都没我的经历精彩】,775569
TWORED_,19097,992,28345,89063708,26120,89,影视,718,853390,6869,"想见你,李子维,许光汉,柯佳嬿,情人节一起嗑CP,爱情",【许光汉×柯佳嬿】双声道 催泪台词向 | 坠落星空｜千万个时间线里，我还是等到了你 | “只有当你想见我的时候，我们的相遇才有意义”,261137
我是麋鹿鹿,158012,19844,192584,76664238,196649,88,影视,7039,854434,27724,"影视混剪,全能打卡挑战,彭于晏,张家辉,青春,影视剪辑,电影剪辑,经典,混剪,国产,CUT",对不起，这二十年，一事无成,2693084
XiaoLiu同志,33400,1232,23591,89471892,59233,87,影视,1470,858394,2639,"短片,原创动画,自制,学生作品,动画短片,毕业设计",2020个人动画短片毕设《遇》,347020
中队长同志,38632,2033,22805,91156404,33098,86,影视,1694,859408,13808,"影评,小丑,JOKER,剪辑,电影,影评杂谈,导演,bilibili新星计划,摄影,奥斯卡",JOKER隐藏剧情揭晓[上] 镜头疯狂暗示却无人看破-母亲线身世解谜【中队长拉片笔记05A】小丑业内爆肝解读只此一份,338328
逃课的学委,26991,2544,94161,76176674,98533,85,影视,1300,860341,7873,"白皇后,影视剪辑,影视剪影,剪辑,经典,爱丽丝梦游仙境,踩点",【白皇后.踩点混剪】超清版本建议收藏！,1084978
飞雪の祈り,32942,2674,32365,93189698,58226,84,影视,1989,861062,3677,"影视混剪,创作不死,ao3,lofter,混剪,影视剪影",“我们本能忍受黑暗，如果不曾见光”,354102
群青加普蓝,21087,7346,24545,90758408,41447,83,影视,1697,861411,15913,"甄嬛传,蔡少芬,bilibili新星计划,华妃,橘里橘气,影视剪辑,孙俪,拉郎,古装",【甄嬛X皇后】在物是人非的景色里，我最喜欢你,374052
喜东东的小尾巴,24745,1858,23597,88825815,36116,82,影视,1158,864425,3155,"影视混剪,如懿传,bilibili新星计划,甄嬛传,周迅,秦岚,群像,佟丽娅,混剪,清宫,延禧攻略",【清宫女子|群像】“所以还念吗？...不念了”,404375
唐忆荣LeslieTong,9854,2057,19811,88844324,27052,81,影视,1973,867790,4870,"李绮红,绝代双骄,郭襄,香港小姐,阿sir早晨,TVB,影视剪辑,神雕侠侣,香港女神,童年女神,冲锋队之怒火街头",李绮红 | 谁说可爱在性感前不堪一击·心都要甜化了,682099
请叫我猛男王子,14890,19697,32558,60530647,36405,80,影视,2965,869501,33117,"舞法天女,暑期爆肝挑战,剪辑,法苏,法苏天女,绚彩归来",法苏卖萌合集awsl这谁顶的住啊，猛男必看,1397388
FUSION-TV,37985,1337,23968,87235049,36307,79,影视,950,883351,2576,"超级英雄,影视混剪,全能打卡挑战,影视剪辑,漫威,钢铁侠,复仇者联盟,混剪,电影剪辑,灭霸","4K《灭霸""我就是天命""》史诗MV~灭霸传之复仇者联盟",325032
高质量渲染,7854,820,29233,89823016,20156,78,影视,350,891215,4262,"励志短片,彭于晏,周星驰,热门,励志混剪",谁还记得，这个激励千万人的励志短片,376449
呆萌憨憨牛,6967,2080,15577,87030980,20353,77,影视,451,930363,3215,"狗哥,处处吻,明星,恋爱,女神,影视剪辑,爱情公寓,诸葛大力,张伟,成果,爱情公寓5",【处处吻】这样的大力谁能顶得住啊！在?你能坚持几秒？,1442702
风烛失火,33189,4858,27547,88612864,36707,76,影视,1212,949154,6023,"糖浆夫妇,爱情公寓,张一铎,万籽麟,赵海棠,咖喱酱",【糖浆夫妇】这都不是爱情吗？,339043
夜雨声烦づ凡,169578,26740,142696,79674288,295408,75,影视,2710,954589,27866,"吕子乔,爱情公寓,泪目,曾小贤,热血,全能打卡挑战,自制,张伟,关谷神奇,陈美嘉",【吕子乔】请叫我—人生导师和精神向导！！！,2580654
唐恺维Kevin,4695,750,19518,87747631,32166,74,影视,518,964740,978,"超级英雄,影视混剪,女神,哈莉奎茵,bilibili新星计划,经典,混剪,小丑女,电影,电影剪辑,DC",【小丑女/哈莉奎茵/混剪/1080p】躲 房 间 偷 偷 看,1064501
